SSATier1,SSATier2,Provision,LevelOfLearning,AppType,Sex,AgeGroup,Ethnicity,IndustrySection,NumberSustainedEmployment,SustainedEmploymentPercent
Engineering and Manufacturing Technologies,Manufacturing Technologies,Apprenticeship,Intermediate Apprenticeship,All,All,All,All,Mining And Quarrying,10.0,0.0
Education and Training,Direct Learning Support,All,Level 6,Not applicable,All,All,All,Human Health And Social Work Activities,c,0.0
Not Applicable / Not Known,Not Applicable / Not Known,Traineeship,All,All,Female,All,All,Public Administration And Defence - Compulsory Social Security,10.0,0.0
"Agriculture, Horticulture and Animal Care",Agriculture,All,Full level 3,All,All,All,All,Education,20.0,0.0
"Business, Administration and Law",Marketing and Sales,All,All,All,All,All,Unknown,Information And Communication,c,0.0
Not Applicable / Not Known,All,Traineeship,All,All,All,All,Mixed / Multiple ethnic groups,Other Service Activities,20.0,0.0
"History, Philosophy and Theology",Theology and Religious Studies,Education & Training,All,All,All,All,Black / African / Caribbean / Black British,Human Health And Social Work Activities,10.0,0.0
Science and Mathematics,Mathematics and Statistics,All,Level 1 English & Maths,Not applicable,All,All,All,Mining And Quarrying,c,0.0
"Business, Administration and Law",Marketing and Sales,Education & Training,All,All,All,All,Other ethnic group,Education,c,0.0
"Health, Public Services and Care",Child Development and Well Being,Education & Training,Level 2 Other,All,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Business, Administration and Law",Marketing and Sales,All,All,All,All,All,Other ethnic group,Transportation And Storage,c,0.0
"Health, Public Services and Care",Medicine and Dentistry,All,All,Standard apprenticeship,All,All,White,Administrative And Support Service Activities,c,0.0
Preparation for Life and Work,All,All,Level 1 Digital,Not applicable,All,All,All,Public Administration And Defence - Compulsory Social Security,c,0.0
Social Sciences,Geography,Education & Training,All,All,All,All,Unknown,Accommodation And Food Service Activities,c,0.0
"Languages, Literature and Culture",All,All,All,All,All,All,Unknown,Other Service Activities,c,0.0
"Business, Administration and Law",Marketing and Sales,Education & Training,All,All,All,All,Black / African / Caribbean / Black British,Unknown,20.0,0.0
Education and Training,Not Applicable / Not Known,Education & Training,Level 2 Other,All,All,All,All,Other Service Activities,c,0.0
"History, Philosophy and Theology",Philosophy,Education & Training,All,All,Female,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
Not Applicable / Not Known,Not Applicable / Not Known,Traineeship,All,Not applicable,All,25 - 49,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,c,0.0
"Health, Public Services and Care",All,All,All,Framework apprenticeship,All,All,Unknown,Human Health And Social Work Activities,c,0.0
"Construction, Planning and the Built Environment",Not Applicable / Not Known,All,All,All,All,All,White,"Arts, Entertainment And Recreation",20.0,0.0
"Business, Administration and Law",All,Education & Training,Level 3 Other,All,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",10.0,0.0
"Health, Public Services and Care",Medicine and Dentistry,All,All,All,All,18 and under,All,Unknown,c,0.0
"Health, Public Services and Care","Health, Public Services and Care",All,All,Not applicable,All,All,Black / African / Caribbean / Black British,Administrative And Support Service Activities,c,0.0
Social Sciences,Sociology and Social Policy,Education & Training,All,All,All,All,White,Mining And Quarrying,c,0.0
"Health, Public Services and Care",All,Apprenticeship,All,Framework apprenticeship,All,All,Black / African / Caribbean / Black British,Administrative And Support Service Activities,c,0.0
Retail and Commercial Enterprise,Service Enterprises,All,All,Framework apprenticeship,All,25 - 49,All,Human Health And Social Work Activities,c,0.0
Education and Training,Teaching and Lecturing,All,Advanced Apprenticeship,Standard apprenticeship,All,All,All,"Arts, Entertainment And Recreation",10.0,0.0
"Health, Public Services and Care",All,All,All,Standard apprenticeship,All,All,Other ethnic group,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
"Languages, Literature and Culture",Linguistics,All,All,All,All,25 - 49,All,Manufacturing,c,0.0
Retail and Commercial Enterprise,All,Education & Training,All,All,All,All,Asian / Asian British,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Business, Administration and Law",Business Management,Apprenticeship,All,All,All,All,Other ethnic group,Financial And Insurance Activities,10.0,0.0
"Leisure, Travel and Tourism",All,Education & Training,All,All,All,All,Asian / Asian British,Information And Communication,10.0,0.0
"History, Philosophy and Theology",Philosophy,All,All,All,All,18 and under,All,Financial And Insurance Activities,c,0.0
Retail and Commercial Enterprise,All,Apprenticeship,All,All,All,50 and over,All,Education,20.0,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,All,Level 1 / Other Entry Level,All,All,All,All,Other Service Activities,c,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,All,All,All,Female,All,All,Information And Communication,10.0,0.0
"Health, Public Services and Care",Child Development and Well Being,Education & Training,Level 2 Other,Not applicable,All,All,All,"Agriculture, Forestry And Fishing",10.0,0.0
Engineering and Manufacturing Technologies,Manufacturing Technologies,Education & Training,All,Not applicable,All,All,Black / African / Caribbean / Black British,Public Administration And Defence - Compulsory Social Security,c,0.0
Preparation for Life and Work,All,Education & Training,Level 1 Digital,All,All,All,All,Information And Communication,c,0.0
"Business, Administration and Law",Business Management,All,All,All,All,All,Unknown,"Arts, Entertainment And Recreation",10.0,0.0
Digital Technology,Digital technology (users),All,All,All,All,18 and under,All,Construction,c,0.0
"Construction, Planning and the Built Environment",All,Education & Training,All,Not applicable,Female,All,All,Mining And Quarrying,c,0.0
Digital Technology,Digital technology (users),All,Higher (Level 4) Apprenticeship,Standard apprenticeship,All,All,All,Real Estate Activities,c,0.0
"Business, Administration and Law",Law and Legal Services,All,All,Standard apprenticeship,All,All,All,Manufacturing,c,0.0
Education and Training,All,Education & Training,Level 1 / Other Entry Level,Not applicable,All,All,All,"Arts, Entertainment And Recreation",10.0,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,All,All,All,All,All,Mixed / Multiple ethnic groups,Financial And Insurance Activities,c,0.0
Preparation for Life and Work,All,Education & Training,Level 1 Digital,All,All,All,All,Transportation And Storage,c,0.0
Engineering and Manufacturing Technologies,All,Apprenticeship,All,Framework apprenticeship,Female,All,All,Other Service Activities,c,0.0
Engineering and Manufacturing Technologies,All,Apprenticeship,All,Standard apprenticeship,All,All,Mixed / Multiple ethnic groups,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Leisure, Travel and Tourism",All,Apprenticeship,All,Standard apprenticeship,Female,All,All,Unknown,c,0.0
Retail and Commercial Enterprise,All,Apprenticeship,Higher (Level 4) Apprenticeship,Standard apprenticeship,All,All,All,Transportation And Storage,c,0.0
"Health, Public Services and Care",All,All,Higher (Level 4) Apprenticeship,Standard apprenticeship,All,All,All,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,10.0,0.0
Not Applicable / Not Known,Not Applicable / Not Known,Education & Training,All,All,All,All,Black / African / Caribbean / Black British,Administrative And Support Service Activities,c,0.0
"Health, Public Services and Care",Health and Social Care,Education & Training,All,Not applicable,All,All,Asian / Asian British,"Agriculture, Forestry And Fishing",c,0.0
Preparation for Life and Work,Foundations for Learning and Life,Education & Training,Entry Level Digital,Not applicable,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,10.0,0.0
Digital Technology,Digital technology (users),All,Full level 3,Not applicable,All,All,All,Education,c,0.0
"Health, Public Services and Care",Health and Social Care,All,Level 5,All,All,All,All,Public Administration And Defence - Compulsory Social Security,10.0,0.0
"Languages, Literature and Culture","Other Languages, Literature and Culture",All,Level 2 Other,All,All,All,All,Real Estate Activities,c,0.0
"Arts, Media and Publishing",Performing Arts,Education & Training,Level 4,All,All,All,All,Human Health And Social Work Activities,10.0,0.0
Engineering and Manufacturing Technologies,Transportation Operations and Maintenance,All,Level 3 Other,Not applicable,All,All,All,Human Health And Social Work Activities,c,0.0
"Construction, Planning and the Built Environment",All,All,All,Standard apprenticeship,All,25 - 49,All,Information And Communication,c,0.0
"Arts, Media and Publishing",Performing Arts,All,Level 1 / Other Entry Level,All,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Leisure, Travel and Tourism",Travel and Tourism,All,Level 3 Other,All,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
Retail and Commercial Enterprise,Warehousing and Distribution,All,Level 1 / Other Entry Level,All,All,All,All,"Agriculture, Forestry And Fishing",c,0.0
Digital Technology,Digital technology (practitioners),All,All,Not applicable,All,18 and under,All,"Electricity, Gas, Steam And Air Conditioning Supply",10.0,0.0
Digital Technology,Digital technology (users),Education & Training,All,All,All,All,Other ethnic group,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,c,0.0
Engineering and Manufacturing Technologies,Engineering,Education & Training,Full level 2,Not applicable,All,All,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",c,0.0
"Agriculture, Horticulture and Animal Care",Animal Care and Veterinary Science,Education & Training,Full level 2,Not applicable,All,All,All,Financial And Insurance Activities,10.0,0.0
Digital Technology,Digital technology (practitioners),Education & Training,Level 1 / Other Entry Level,All,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Agriculture, Horticulture and Animal Care",Horticulture and Forestry,Education & Training,All,All,All,All,All,"Electricity, Gas, Steam And Air Conditioning Supply",c,0.0
"Arts, Media and Publishing",All,All,All,Framework apprenticeship,All,All,Black / African / Caribbean / Black British,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,c,0.0
"Agriculture, Horticulture and Animal Care",Environmental Conservation,All,Level 5,Not applicable,All,All,All,Other Service Activities,c,0.0
"Business, Administration and Law",Business Management,Apprenticeship,All,Standard apprenticeship,All,All,Other ethnic group,Wholesale And Retail Trade - Repair Of Motor Vehicles And Motorcycles,c,0.0
"Agriculture, Horticulture and Animal Care",All,Education & Training,All,Not applicable,All,All,Other ethnic group,Education,10.0,0.0
"Arts, Media and Publishing",Performing Arts,Education & Training,All,All,All,18 and under,All,"Water Supply - Sewerage, Waste Management And Remediation Activities",10.0,0.0
"Health, Public Services and Care",All,Apprenticeship,Higher (Level 4) Apprenticeship,Framework apprenticeship,All,All,All,Unknown,c,0.0
"History, Philosophy and Theology",Theology and Religious Studies,All,All,Not applicable,All,All,White,Public Administration And Defence - Compulsory Social Security,10.0,0.0
All,All,Traineeship,Traineeship,Not applicable,All,All,All,Activities Of Households As Employers - Undifferentiated Goods-and Services-producing Activities Of Households For Own Use,10.0,0.0
Education and Training,All,Apprenticeship,All,Standard apprenticeship,All,19 - 24,All,Accommodation And Food Service Activities,10.0,0.0
Engineering and Manufacturing Technologies,All,Education & Training,Level 4,Not applicable,All,All,All,Other Service Activities,10.0,0.0
"Business, Administration and Law",Accounting and Finance,Apprenticeship,Higher (Level 7+) Apprenticeship,All,All,All,All,Unknown,c,0.0
